Model,Accuracy,Precision,Recall,F1-Score
lr_resnet_emb,0.8301282051282052,0.7886178861788617,0.9948717948717949,0.8798185941043084
svm_resnet_emb,0.8157051282051282,0.7733598409542743,0.9974358974358974,0.8712206047032475
rf_resnet_emb,0.8269230769230769,0.7854251012145749,0.9948717948717949,0.8778280542986425
