phase,epoch,acc,prec,rec,f1
head,1,0.8269230769230769,0.9147058823529411,0.7974358974358975,0.852054794520548
head,2,0.8509615384615384,0.8544152744630071,0.9179487179487179,0.8850432632880099
head,3,0.8589743589743589,0.8793969849246231,0.8974358974358975,0.8883248730964467
head,4,0.8509615384615384,0.8527315914489311,0.9205128205128205,0.8853267570900123
finetune,1,0.9086538461538461,0.8936170212765957,0.9692307692307692,0.9298892988929889
