Model,Accuracy,Precision,Recall,F1-Score
lr_fast_resnet_emb,0.8589743589743589,0.8296943231441049,0.9743589743589743,0.8962264150943396
svm_fast_resnet_emb,0.8653846153846154,0.8311688311688312,0.9846153846153847,0.9014084507042254
rf_fast_resnet_emb,0.9022435897435898,0.8747152619589977,0.9846153846153847,0.9264173703256936
