Model,Accuracy,Precision,Recall,F1-Score,CV_Best_Accuracy,Threshold,Val_Best_Threshold_Accuracy,Best_Params
Decision Tree,0.844551282051282,0.8058455114822547,0.9897435897435898,0.8883774453394706,0.9654846934817352,0.2,0.960727969348659,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 4, ""min_samples_split"": 10}"
Gradient Boosting,0.8365384615384616,0.7975206611570248,0.9897435897435898,0.8832951945080092,0.983221532048265,0.7000000000000002,0.9904214559386973,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}"
Random Forest,0.8221153846153846,0.7818181818181819,0.9923076923076923,0.8745762711864407,0.9832213596484422,0.51,0.9904214559386973,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 600}"
KNN,0.8205128205128205,0.780241935483871,0.9923076923076923,0.873589164785553,0.9829818962946106,0.43000000000000005,0.9904214559386973,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""uniform""}"
SVM RBF,0.8125,0.7702970297029703,0.9974358974358974,0.8692737430167597,0.9839413013083421,0.45000000000000007,0.9904214559386973,"{""C"": 8.0, ""class_weight"": null, ""gamma"": ""scale""}"
Logistic Regression,0.7932692307692307,0.7524177949709865,0.9974358974358974,0.8577728776185226,0.9834620298010334,0.2,0.985632183908046,"{""C"": 0.5, ""class_weight"": ""balanced""}"
